,c_albicans_single_growth,c_albicans_paired_growth,bacteria_single_growth,bacteria_paired_growth,solution_status,c_albicans_coefficient,bacteria_coefficient,interaction_type,bacteria_interaction_role
M_Lactobacillus_paracasei_subsp_paracasei_8700_2,2.319699588,1.513451844,1.280951963,3.973797625,1,-0.61609521,1.633302028,Parasitism [-/+],inhibitor
M_Lactobacillus_paracasei_subsp_paracasei_ATCC_25302,2.319699588,1.559163582,1.280951963,3.830281659,1,-0.573165683,1.580234111,Parasitism [-/+],inhibitor
M_Lactobacillus_paracasei_subsp_paracasei_Lpp120,2.319699588,1.469912787,1.711824743,5.84401,1,-0.658207422,1.771423641,Parasitism [-/+],inhibitor
M_Lactobacillus_paracasei_subsp_paracasei_Lpp122,2.319699588,2.346836643,1.930314271,6.479866956,1,0.016779442,1.747128443,Commensalism [o/+],neutral
M_Lactobacillus_paracasei_subsp_paracasei_Lpp17,2.319699588,2.499975,1.813727468,6.747790722,1,0.107975686,1.895457538,Commensalism [o/+],neutral
M_Lactobacillus_paracasei_subsp_paracasei_Lpp225,2.319699588,2.499975,1.813727468,6.765039536,1,0.107975686,1.899140673,Commensalism [o/+],neutral
M_Lactobacillus_paracasei_subsp_paracasei_Lpp226,2.319699588,2.680135413,1.813727468,6.770245218,1,0.208367913,1.900250397,Mutualism [+/+],promoter
M_Lactobacillus_paracasei_subsp_paracasei_Lpp230,2.319699588,2.499975,1.813727468,6.609766435,1,0.107975686,1.865641601,Commensalism [o/+],neutral
M_Lactobacillus_paracasei_subsp_paracasei_Lpp46,2.319699588,2.499975,1.813727468,6.636599565,1,0.107975686,1.871486536,Commensalism [o/+],neutral
M_Lactobacillus_paracasei_subsp_paracasei_Lpp49,2.319699588,2.704488463,1.813727468,6.765841313,1,0.221417762,1.899311648,Mutualism [+/+],promoter
M_Lactobacillus_paracasei_subsp_paracasei_Lpp74,2.319699588,3.829271989,1.813727468,6.56244009,1,0.723132156,1.855274655,Mutualism [+/+],promoter
M_Lactobacillus_paracasei_subsp_tolerans_Lpl14,2.319699588,1.630922105,1.778035417,4.658335514,1,-0.508250103,1.389530491,Parasitism [-/+],inhibitor
M_Lactobacillus_paracasei_subsp_tolerans_Lpl7,2.319699588,2.499975,1.813727468,6.647971272,1,0.107975686,1.873956456,Commensalism [o/+],neutral
M_Lactobacillus_paracasei_T71499,2.319699588,2.326713409,1.629883557,4.376145156,1,0.004355538,1.424891695,Commensalism [o/+],neutral
M_Lactobacillus_paracasei_UCD174,2.319699588,4.432020392,1.813727468,6.45344155,1,0.934026538,1.831111047,Mutualism [+/+],promoter
M_Lactobacillus_paracasei_UW1,2.319699588,0.972626959,1.601004435,4.645055727,1,-1.253979495,1.536718601,Parasitism [-/+],inhibitor
M_Lactobacillus_paracasei_Zhang,2.319699588,2.18090795,1.411943219,4.045086399,1,-0.089009102,1.518488445,Commensalism [o/+],neutral
M_Lactobacillus_pentosus_KCA1,2.319699588,1.350783695,1.232130698,3.567329367,1,-0.780141312,1.533689127,Parasitism [-/+],inhibitor
M_Lactobacillus_plantarum_16,2.319699588,4.213679279,1.871671685,7.00967107,1,0.861142527,1.905019357,Mutualism [+/+],promoter
M_Lactobacillus_plantarum_ERR2221349,2.319699588,2.655408687,1.441162819,5.598063643,1,0.194995938,1.957694552,Mutualism [+/+],promoter
M_Lactobacillus_plantarum_IPLA88,2.319699588,3.060300107,1.322455151,7.260375416,1,0.399735156,2.456825352,Mutualism [+/+],promoter
M_Lactobacillus_plantarum_JDM1,2.319699588,2.404261,1.438162831,5.467731582,1,0.051655538,1.926715392,Commensalism [o/+],neutral
M_Lactobacillus_plantarum_subsp_plantarum_ATCC_14917,2.319699588,2.481843618,1.316580805,5.083183286,1,0.097474232,1.948936182,Commensalism [o/+],neutral
M_Lactobacillus_plantarum_subsp_plantarum_NC8,2.319699588,2.255121548,1.576704671,7.418123471,1,-0.040732787,2.234141823,Commensalism [o/+],neutral
M_Lactobacillus_plantarum_subsp_plantarum_P_8,2.319699588,4.198408073,1.872396435,7.037400878,1,0.855904418,1.910156773,Mutualism [+/+],promoter
M_Lactobacillus_plantarum_subsp_plantarum_ST_III,2.319699588,2.297843334,1.604739604,7.409753553,1,-0.013657542,2.207086345,Commensalism [o/+],neutral
M_Lactobacillus_plantarum_UCMA_3037,2.319699588,2.287727261,1.572579826,7.411735462,1,-0.020022914,2.236678138,Commensalism [o/+],neutral
M_Lactobacillus_plantarum_WCFS1,2.319699588,2.420842601,1.529901596,5.866020303,1,0.0615713,1.938943203,Commensalism [o/+],neutral
M_Lactobacillus_plantarum_ZJ316,2.319699588,2.28728942,1.594910152,7.411821243,1,-0.020299054,2.216352934,Commensalism [o/+],neutral
M_Lactobacillus_reuteri_100_23,2.319699588,0.315516971,0.968487373,4.78696494,1,-2.878148469,2.305306096,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_ATCC_53608,2.319699588,1.871544566,0.908253439,6.284229276,1,-0.309708579,2.790568989,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_CF48_3A,2.319699588,1.147996309,0.615784963,2.239882233,1,-1.014819977,1.862924337,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_DSM_20016,2.319699588,1.943101577,1.192193126,6.496812033,1,-0.255576661,2.446114005,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_ERR2221127,2.319699588,8.798403388,1.133554497,6.136232472,1,1.923303766,2.436499389,Mutualism [+/+],promoter
M_Lactobacillus_reuteri_ERR2221204,2.319699588,1.073084977,1.00076809,17.97655012,1,-1.112173654,4.166936581,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_F275_JCM_1112,2.319699588,1.130605004,0.635276984,2.287280479,1,-1.036842994,1.848175632,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_I49,2.319699588,8.794129318,0.586964688,6.137069841,1,1.922602766,3.386204383,Mutualism [+/+],promoter
